"Host","Parasitoid","Temp","H/P","Sex","individual","body_weight"
"BIR","C",24,"H","F",18,0.154
"BIR","C",24,"H","F",19,0.193
"BIR","C",24,"H","F",20,0.212
"BIR","D",24,"H","F",1,0.207
"BIR","D",24,"H","F",2,0.182
"BIR","D",24,"H","F",3,0.157
"BIR","D",24,"H","F",4,0.156
"BIR","D",24,"H","F",5,0.164
"BIR","D",24,"H","F",6,0.183
"BIR","D",24,"H","F",7,0.134
"BIR","D",24,"H","F",8,0.18
"BIR","D",24,"H","F",9,0.171
"BIR","D",24,"H","F",10,0.154
"BIR","D",24,"H","F",11,0.189
"BIR","D",24,"H","F",12,0.181
"BIR","D",24,"H","F",13,0.175
"BIR","D",24,"H","F",14,0.163
"BIR","D",24,"H","F",15,0.166
"BIR","D",24,"H","F",16,0.212
"BIR","D",24,"H","F",17,0.18
"BIR","D",24,"H","F",18,0.205
"BIR","D",24,"H","F",19,0.163
"BIR","D",24,"H","F",20,0.186
"BIR","A",20,"H","F",1,0.149
"BIR","A",20,"H","F",2,0.203
"BIR","A",20,"H","F",3,0.149
"BIR","A",20,"H","F",4,0.15
"BIR","A",20,"H","F",5,0.158
"BIR","G",20,"H","F",1,0.156
"BIR","G",20,"H","F",2,0.197
"BIR","G",20,"H","F",3,0.129
"BIR","G",20,"H","F",4,0.135
"BIR","G",20,"H","F",5,0.165
"BIR","G",20,"H","F",6,0.144
"BIR","G",20,"H","F",7,0.151
"BIR","G",20,"H","F",11,
"BIR","G",20,"H","F",12,
"BIR","G",20,"H","F",13,
"BIR","G",20,"H","F",14,
"BIR","G",20,"H","F",15,
"BIR","G",20,"H","F",16,
"BIR","G",20,"H","F",17,
"BIR","G",20,"H","F",18,
"BIR","G",20,"H","F",19,
"BIR","G",20,"H","F",20,
"BIR","L",20,"H","F",1,0.141
"BIR","L",20,"H","F",2,0.156
"BIR","L",20,"H","F",3,0.147
"BIR","L",20,"H","F",4,0.149
"BIR","L",20,"H","F",5,0.064
"BIR","L",20,"H","F",6,0.135
"BIR","L",20,"H","F",7,0.156
"BIR","L",20,"H","F",8,0.161
"BIR","L",20,"H","F",9,0.152
"BIR","L",20,"H","F",10,0.19
"BIR","L",20,"H","F",11,0.167
"BIR","L",20,"H","F",12,0.134
"BIR","L",20,"H","F",13,0.155
"BIR","L",20,"H","F",14,0.145
"BIR","L",20,"H","F",15,0.1
"BIR","L",20,"H","F",16,0.185
"BIR","L",20,"H","F",17,0.144
"BIR","L",20,"H","F",18,0.174
"BIR","L",20,"H","F",19,
"BIR","L",20,"H","F",20,
"BIR","C",20,"H","F",1,0.156
"BIR","C",20,"H","F",2,0.222
"BIR","C",20,"H","F",3,0.183
"BIR","C",20,"H","F",4,0.18
"BIR","C",20,"H","F",5,0.148
"BIR","C",20,"H","F",6,0.168
"BIR","C",20,"H","F",7,0.154
"BIR","C",20,"H","F",8,0.161
"BIR","C",20,"H","F",9,0.177
"BIR","C",20,"H","F",10,0.2
"BIR","C",20,"H","F",11,0.168
"BIR","C",20,"H","F",12,0.151
"BIR","C",20,"H","F",13,0.181
"BIR","C",20,"H","F",14,0.191
"BIR","C",20,"H","F",15,0.19
"BIR","C",20,"H","F",16,0.149
"BIR","C",20,"H","F",17,0.186
"BIR","C",20,"H","F",18,0.165
"BIR","C",20,"H","F",19,0.169
"BIR","C",20,"H","F",20,0.176
"BIR","D",20,"H","F",1,0.17
"BIR","D",20,"H","F",2,0.173
"BIR","D",20,"H","F",3,0.226
"BIR","D",20,"H","F",4,0.178
"BIR","D",20,"H","F",5,0.2
"BIR","D",20,"H","F",6,0.152
"BIR","D",20,"H","F",7,0.142
"BIR","D",20,"H","F",8,0.194
"BIR","D",20,"H","F",9,0.168
"BIR","D",20,"H","F",10,0.145
"BIR","D",20,"H","F",11,0.144
"BIR","D",20,"H","F",12,0.174
"BIR","D",20,"H","F",13,0.18
"BIR","D",20,"H","F",14,0.178
"BIR","D",20,"H","F",15,0.198
"BIR","D",20,"H","F",16,0.161
"BIR","D",20,"H","F",17,0.13
"BIR","D",20,"H","F",18,0.174
"BIR","D",20,"H","F",19,0.152
"BIR","D",20,"H","F",20,0.152
"BIR","M",28,"H","F",1,0.122
"BIR","M",28,"H","F",2,0.133
"BIR","M",28,"H","F",3,0.119
"BIR","M",28,"H","F",4,0.159
"BIR","M",28,"H","F",5,0.126
"BIR","M",28,"H","F",6,0.139
"BIR","M",28,"H","F",7,0.104
"BIR","M",28,"H","F",8,0.12
"BIR","M",28,"H","F",9,0.128
"BIR","M",28,"H","F",10,0.144
"BIR","M",28,"H","F",11,0.115
"BIR","M",28,"H","F",12,0.118
"BIR","M",28,"H","F",13,0.128
"BIR","M",28,"H","F",14,0.117
"BIR","M",28,"H","F",15,0.137
"BIR","M",28,"H","F",16,0.102
"BIR","M",28,"H","F",17,0.136
"BIR","M",28,"H","F",18,
"BIR","M",28,"H","F",19,
"BIR","M",28,"H","F",20,
"BIR","M",24,"H","F",1,0.165
"BIR","M",24,"H","F",2,0.159
"BIR","M",24,"H","F",3,0.132
"BIR","M",24,"H","F",4,0.136
"BIR","M",24,"H","F",5,0.184
"BIR","M",24,"H","F",6,0.15
"BIR","M",24,"H","F",7,0.145
"BIR","M",24,"H","F",8,0.145
"BIR","M",24,"H","F",9,0.182
"BIR","M",24,"H","F",10,0.129
"BIR","M",24,"H","F",11,0.149
"BIR","M",24,"H","F",12,0.129
"BIR","M",24,"H","F",13,0.152
"BIR","M",24,"H","F",14,0.145
"BIR","M",24,"H","F",15,0.174
"BIR","M",24,"H","F",16,0.15
"BIR","M",24,"H","F",17,0.147
"BIR","M",24,"H","F",18,0.177
"BIR","M",24,"H","F",19,0.154
"BIR","M",24,"H","F",20,0.164
"BIR","M",20,"H","F",1,0.161
"BIR","M",20,"H","F",2,0.152
"BIR","M",20,"H","F",3,0.146
"BIR","M",20,"H","F",4,0.143
"BIR","M",20,"H","F",5,0.142
"BIR","M",20,"H","F",6,0.154
"BIR","M",20,"H","F",7,0.148
"BIR","M",20,"H","F",8,0.148
"BIR","M",20,"H","F",9,0.202
"BIR","M",20,"H","F",10,0.173
"BIR","M",20,"H","F",11,0.167
"BIR","M",20,"H","F",12,0.14
"BIR","M",20,"H","F",13,0.167
"BIR","M",20,"H","F",14,0.14
"BIR","M",20,"H","F",15,
"BIR","M",20,"H","F",16,
"BIR","M",20,"H","F",17,
"BIR","M",20,"H","F",18,
"BIR","M",20,"H","F",19,
"BIR","M",20,"H","F",20,
